Date,SP,Flopy_SP
2023-12-31,1,0
2024-01-01,2,1
2024-02-01,3,2
2024-03-01,4,3
2024-04-01,5,4
2024-05-01,6,5
2024-06-01,7,6
2024-07-01,8,7
2024-08-01,9,8
2024-09-01,10,9
2024-10-01,11,10
2024-11-01,12,11
2024-12-01,13,12
2025-01-01,14,13
2025-02-01,15,14
2025-03-01,16,15
2025-04-01,17,16
2025-05-01,18,17
2025-06-01,19,18
2025-07-01,20,19
2025-08-01,21,20
2025-09-01,22,21
2025-10-01,23,22
2025-11-01,24,23
2025-12-01,25,24
2026-01-01,26,25
2026-02-01,27,26
2026-03-01,28,27
2026-04-01,29,28
2026-05-01,30,29
2026-06-01,31,30
2026-07-01,32,31
2026-08-01,33,32
2026-09-01,34,33
2026-10-01,35,34
2026-11-01,36,35
2026-12-01,37,36
2027-01-01,38,37
2027-02-01,39,38
2027-03-01,40,39
2027-04-01,41,40
2027-05-01,42,41
2027-06-01,43,42
2027-07-01,44,43
2027-08-01,45,44
2027-09-01,46,45
2027-10-01,47,46
2027-11-01,48,47
2027-12-01,49,48
2028-01-01,50,49
2028-02-01,51,50
2028-03-01,52,51
2028-04-01,53,52
2028-05-01,54,53
2028-06-01,55,54
2028-07-01,56,55
2028-08-01,57,56
2028-09-01,58,57
2028-10-01,59,58
2028-11-01,60,59
2028-12-01,61,60
2029-01-01,62,61
2029-02-01,63,62
2029-03-01,64,63
2029-04-01,65,64
2029-05-01,66,65
2029-06-01,67,66
2029-07-01,68,67
2029-08-01,69,68
2029-09-01,70,69
2029-10-01,71,70
2029-11-01,72,71
2029-12-01,73,72
2030-01-01,74,73
2030-02-01,75,74
2030-03-01,76,75
2030-04-01,77,76
2030-05-01,78,77
2030-06-01,79,78
2030-07-01,80,79
2030-08-01,81,80
2030-09-01,82,81
2030-10-01,83,82
2030-11-01,84,83
2030-12-01,85,84
2031-01-01,86,85
2031-02-01,87,86
2031-03-01,88,87
2031-04-01,89,88
2031-05-01,90,89
2031-06-01,91,90
2031-07-01,92,91
2031-08-01,93,92
2031-09-01,94,93
2031-10-01,95,94
2031-11-01,96,95
2031-12-01,97,96
2032-01-01,98,97
2032-02-01,99,98
2032-03-01,100,99
2032-04-01,101,100
2032-05-01,102,101
2032-06-01,103,102
2032-07-01,104,103
2032-08-01,105,104
2032-09-01,106,105
2032-10-01,107,106
2032-11-01,108,107
2032-12-01,109,108
2033-01-01,110,109
2033-02-01,111,110
2033-03-01,112,111
2033-04-01,113,112
2033-05-01,114,113
2033-06-01,115,114
2033-07-01,116,115
2033-08-01,117,116
2033-09-01,118,117
2033-10-01,119,118
2033-11-01,120,119
2033-12-01,121,120
2034-01-01,122,121
2034-02-01,123,122
2034-03-01,124,123
2034-04-01,125,124
2034-05-01,126,125
2034-06-01,127,126
2034-07-01,128,127
2034-08-01,129,128
2034-09-01,130,129
2034-10-01,131,130
2034-11-01,132,131
2034-12-01,133,132
2035-01-01,134,133
2035-02-01,135,134
2035-03-01,136,135
2035-04-01,137,136
2035-05-01,138,137
2035-06-01,139,138
2035-07-01,140,139
2035-08-01,141,140
2035-09-01,142,141
2035-10-01,143,142
2035-11-01,144,143
2035-12-01,145,144
2036-01-01,146,145
2036-02-01,147,146
2036-03-01,148,147
2036-04-01,149,148
2036-05-01,150,149
2036-06-01,151,150
2036-07-01,152,151
2036-08-01,153,152
2036-09-01,154,153
2036-10-01,155,154
2036-11-01,156,155
2036-12-01,157,156
2037-01-01,158,157
2037-02-01,159,158
2037-03-01,160,159
2037-04-01,161,160
2037-05-01,162,161
2037-06-01,163,162
2037-07-01,164,163
2037-08-01,165,164
2037-09-01,166,165
2037-10-01,167,166
2037-11-01,168,167
2037-12-01,169,168
2038-01-01,170,169
2038-02-01,171,170
2038-03-01,172,171
2038-04-01,173,172
2038-05-01,174,173
2038-06-01,175,174
2038-07-01,176,175
2038-08-01,177,176
2038-09-01,178,177
2038-10-01,179,178
2038-11-01,180,179
2038-12-01,181,180
2039-01-01,182,181
2039-02-01,183,182
2039-03-01,184,183
2039-04-01,185,184
2039-05-01,186,185
2039-06-01,187,186
2039-07-01,188,187
2039-08-01,189,188
2039-09-01,190,189
2039-10-01,191,190
2039-11-01,192,191
2039-12-01,193,192
2040-01-01,194,193
2040-02-01,195,194
2040-03-01,196,195
2040-04-01,197,196
2040-05-01,198,197
2040-06-01,199,198
2040-07-01,200,199
2040-08-01,201,200
2040-09-01,202,201
2040-10-01,203,202
2040-11-01,204,203
2040-12-01,205,204
2041-01-01,206,205
2041-02-01,207,206
2041-03-01,208,207
2041-04-01,209,208
2041-05-01,210,209
2041-06-01,211,210
2041-07-01,212,211
2041-08-01,213,212
2041-09-01,214,213
2041-10-01,215,214
2041-11-01,216,215
2041-12-01,217,216
2042-01-01,218,217
2042-02-01,219,218
2042-03-01,220,219
2042-04-01,221,220
2042-05-01,222,221
2042-06-01,223,222
2042-07-01,224,223
2042-08-01,225,224
2042-09-01,226,225
2042-10-01,227,226
2042-11-01,228,227
2042-12-01,229,228
2043-01-01,230,229
